timestamp,event,mint,symbol,setup,price_usd,size_usd,fee_usd,pnl_usd,rug_verdict,movement,features,reason
2026-08-27 20:17:36,SCREEN,TTWofwAge91oFhZs7kpQdyrVRkmevgM88xijGvQFbKo,TTWO,,,,,,RUG_RISK,,,"RUG_RISK score=92 | hard_fail:mint_authority,freeze_authority,top10_holders | warn:organic_buyers_5m"
2026-08-27 20:17:36,SKIP,TTWofwAge91oFhZs7kpQdyrVRkmevgM88xijGvQFbKo,TTWO,,,,,,RUG_RISK,,,"rug_screen: RUG_RISK score=92 | hard_fail:mint_authority,freeze_authority,top10_holders | warn:organic_buyers_5m"
2026-08-27 20:17:43,SCREEN,4kjruqGHDsSqkMdFfCjV7Vb62HPFhtXyWc2t6JpQzDnz,GTA6,,,,,,SAFE,,,"SAFE score=84 | warn:dev_history,organic_buyers_5m"
2026-08-27 20:17:54,SCREEN,SKHYhSjuRWHgikq8eRKbtBbpABgJSkd7ytQV14i9EQ3,SKHY,,,,,,RUG_RISK,,,"RUG_RISK score=92 | hard_fail:mint_authority,freeze_authority,top1_holder,top10_holders | warn:organic_buyers_5m"
2026-08-27 20:17:54,SKIP,SKHYhSjuRWHgikq8eRKbtBbpABgJSkd7ytQV14i9EQ3,SKHY,,,,,,RUG_RISK,,,"rug_screen: RUG_RISK score=92 | hard_fail:mint_authority,freeze_authority,top1_holder,top10_holders | warn:organic_buyers_5m"
2026-08-27 20:17:57,SCREEN,E3i7sTY5QYEBh3itepnomZQt7Eh5kzmHFk1vkm2pump,cc,,,,,,SAFE,,,SAFE score=92 | warn:organic_buyers_5m
2026-08-27 20:18:04,SCREEN,7n8kRipxAQBfpGQtcGA2AbkM2HASSVCzqZ5F3QEopump,Zoe,,,,,,RUG_RISK,,,"RUG_RISK score=84 | hard_fail:sell_route | warn:dev_history,organic_buyers_5m"
2026-08-27 20:18:04,SKIP,7n8kRipxAQBfpGQtcGA2AbkM2HASSVCzqZ5F3QEopump,Zoe,,,,,,RUG_RISK,,,"rug_screen: RUG_RISK score=84 | hard_fail:sell_route | warn:dev_history,organic_buyers_5m"
2026-08-27 20:18:09,SCREEN,Ge87EtsjwRQbHaqQmKRno69RFTwh9bfSsm99XNxTpump,Jimothy,,,,,,SAFE,,,SAFE score=100
2026-08-27 20:18:16,SCREEN,zj1jpp7QMveWHLs61vL9KMZf254KvW7j4AAmBF8ry2k,BULLSHIT,,,,,,SAFE,,,SAFE score=100
2026-08-27 20:18:50,SCREEN,hgin2YeSuc6JXDwiTKGxZaw1xkDHKicUAHPV3u9pump,PHASEONE,,,,,,SAFE,,,"SAFE score=84 | warn:dev_history,organic_buyers_5m"
2026-08-27 20:19:20,SKIP,HG3sZ52NRmNpm2BueL1MSBM3krr5M6YJtQohjNyhpump,BANDOS,,,,,,SAFE,bo:window_flat (-9.5%); bo:1h_out_of_band (-47%); bo:5m_negative (-12.1%); bo:late_slope (-3.83),,setup: bo:window_flat (-9.5%); bo:1h_out_of_band (-47%); bo:5m_negative (-12.1%); bo:late_slope (-3.83)
2026-08-27 20:20:23,BUY,FZqdw6oSDCbHtKYxmhnfbi97SnyVy8jaYpdCoMrrjKa2,Pistacio,breakout,0.0043722246,5.00,0.0011,,SAFE,"breakout: -1.8% off high, 1h +9%, flow 74/88, late slope -0.83",rug_score=92;liq_usd=508835;mcap_usd=4.25294e+06;vol24_usd=1.06341e+07;holders=18876;top1_pct=12.72;organic_score=92.03;chg5m_pct=-0.87;chg1h_pct=8.87;chg24h_pct=-10.29;organic_buyers_5m=8;buys_5m=74;sells_5m=88;dev_mints=3888;setup_breakout=1;setup_pullback=0;mv_return_pct=-1.651;mv_drawdown_pct=-1.756;mv_slope=-0.6095;mv_late_slope=-0.8327;mv_vol_pct=0.398;mv_below_high_pct=-1.756;mv_above_low_pct=0;mv_holder_growth=-2.143;mv_liq_trend_pct=-0.422,breakout | stop 0.0038475576 | SAFE score=92 | warn:dev_history
2026-08-27 20:20:23,SKIP,4kjruqGHDsSqkMdFfCjV7Vb62HPFhtXyWc2t6JpQzDnz,GTA6,,,,,,,,,buy_failed: 429 Client Error: Too Many Requests for url: https://api.jup.ag/price/v3?ids=So11111111111111111111111111111111111111112
2026-08-27 20:20:46,SKIP,E3i7sTY5QYEBh3itepnomZQt7Eh5kzmHFk1vkm2pump,cc,,,,,,SAFE,bo:flow_weak (16/26); pb:dd_out_of_band (-0.0%),,setup: bo:flow_weak (16/26); pb:dd_out_of_band (-0.0%)
2026-08-27 20:20:52,SKIP,Ge87EtsjwRQbHaqQmKRno69RFTwh9bfSsm99XNxTpump,Jimothy,,,,,,,,,buy_failed: 429 Client Error: Too Many Requests for url: https://api.jup.ag/price/v3?ids=So11111111111111111111111111111111111111112
2026-08-27 20:20:56,SKIP,zj1jpp7QMveWHLs61vL9KMZf254KvW7j4AAmBF8ry2k,BULLSHIT,,,,,,,,,buy_failed: 429 Client Error: Too Many Requests for url: https://api.jup.ag/price/v3?ids=So11111111111111111111111111111111111111112
2026-08-27 20:21:21,SKIP,hgin2YeSuc6JXDwiTKGxZaw1xkDHKicUAHPV3u9pump,PHASEONE,,,,,,,,,buy_failed: Jupiter could not build a swap: Insufficient funds
2026-08-27 20:22:26,SCREEN,DMXBsVBwfuzc5axa2vz6Ba2BzAxcUmn6V7ZtsJFEpump,TOADS,,,,,,SAFE,,,SAFE score=92 | warn:dev_history
2026-08-27 20:23:34,SCREEN,TTWofwAge91oFhZs7kpQdyrVRkmevgM88xijGvQFbKo,TTWO,,,,,,RUG_RISK,,,"RUG_RISK score=92 | hard_fail:mint_authority,freeze_authority,top10_holders | warn:organic_buyers_5m"
2026-08-27 20:23:34,SKIP,TTWofwAge91oFhZs7kpQdyrVRkmevgM88xijGvQFbKo,TTWO,,,,,,RUG_RISK,,,"rug_screen: RUG_RISK score=92 | hard_fail:mint_authority,freeze_authority,top10_holders | warn:organic_buyers_5m"
2026-08-27 20:23:37,SCREEN,4kjruqGHDsSqkMdFfCjV7Vb62HPFhtXyWc2t6JpQzDnz,GTA6,,,,,,SAFE,,,"SAFE score=84 | warn:dev_history,organic_buyers_5m"
2026-08-27 20:23:51,SCREEN,7n8kRipxAQBfpGQtcGA2AbkM2HASSVCzqZ5F3QEopump,Zoe,,,,,,SAFE,,,"SAFE score=84 | warn:dev_history,organic_buyers_5m"
2026-08-27 20:23:59,SCREEN,E3i7sTY5QYEBh3itepnomZQt7Eh5kzmHFk1vkm2pump,cc,,,,,,SAFE,,,"SAFE score=84 | warn:organic_buyers_5m,order_flow_5m"
2026-08-27 20:24:06,SCREEN,SKHYhSjuRWHgikq8eRKbtBbpABgJSkd7ytQV14i9EQ3,SKHY,,,,,,RUG_RISK,,,"RUG_RISK score=92 | hard_fail:mint_authority,freeze_authority,top1_holder,top10_holders | warn:organic_buyers_5m"
2026-08-27 20:24:06,SKIP,SKHYhSjuRWHgikq8eRKbtBbpABgJSkd7ytQV14i9EQ3,SKHY,,,,,,RUG_RISK,,,"rug_screen: RUG_RISK score=92 | hard_fail:mint_authority,freeze_authority,top1_holder,top10_holders | warn:organic_buyers_5m"
2026-08-27 20:24:09,SCREEN,Ge87EtsjwRQbHaqQmKRno69RFTwh9bfSsm99XNxTpump,Jimothy,,,,,,SAFE,,,SAFE score=100
2026-08-27 20:24:13,SCREEN,zj1jpp7QMveWHLs61vL9KMZf254KvW7j4AAmBF8ry2k,BULLSHIT,,,,,,RUG_RISK,,,RUG_RISK score=100 | hard_fail:sell_route
2026-08-27 20:24:13,SKIP,zj1jpp7QMveWHLs61vL9KMZf254KvW7j4AAmBF8ry2k,BULLSHIT,,,,,,RUG_RISK,,,rug_screen: RUG_RISK score=100 | hard_fail:sell_route
2026-08-27 20:25:02,SCREEN,hgin2YeSuc6JXDwiTKGxZaw1xkDHKicUAHPV3u9pump,PHASEONE,,,,,,RUG_RISK,,,"RUG_RISK score=84 | hard_fail:sell_route | warn:dev_history,organic_buyers_5m"
2026-08-27 20:25:02,SKIP,hgin2YeSuc6JXDwiTKGxZaw1xkDHKicUAHPV3u9pump,PHASEONE,,,,,,RUG_RISK,,,"rug_screen: RUG_RISK score=84 | hard_fail:sell_route | warn:dev_history,organic_buyers_5m"
